Gene	ratio
WBGene00006843|M142.1|unc-119	469.51
WBGene00044367|T05A8.8	469.18
WBGene00022096|Y69A2AR.25	466.96
WBGene00019867|R04B3.2	466.47
WBGene00009002|F21C3.3|hint-1	465
WBGene00003474|T08G5.10|mtl-2	461
WBGene00017581|F18G5.5	455
WBGene00018175|F38B6.6	444.77
WBGene00044192|F46B6.13	436
WBGene00044471|F56D6.9	436
WBGene00011366|T02C1.2	434
WBGene00008395|D1086.8	434
WBGene00020142|T01C8.1|aak-2	430.89
WBGene00018243|F40G9.7	429
WBGene00015197|B0454.6	424
WBGene00020867|T27F7.2|shc-2	424
WBGene00017999|F33D4.7	420
WBGene00018585|F48A11.4	409
WBGene00004806|T27F2.1|skp-1	408.25
WBGene00004372|C36F7.4|rig-5	405
WBGene00002175|Y105C5B.21|jac-1	405
WBGene00000812|Y48G1C.2|csk-1	405
WBGene00021421|Y38F2AR.3	403
WBGene00016749|C48E7.1	397
WBGene00044453|Y102E9.6	393
WBGene00021030|W04H10.1	393
WBGene00001303|F32D8.6|emo-1	386.38
WBGene00002997|B0454.1|lin-8	384
WBGene00001895|K06C4.3|his-21	379
WBGene00001925|F07B7.10|his-51	379
WBGene00001927|F07B7.3|his-53	379
WBGene00001893|K06C4.11|his-19	379
WBGene00013301|Y57G11C.3	379
WBGene00050939|C05G5.7	377
WBGene00017510|F16B4.9|nhr-178	373
WBGene00012648|Y39A1A.9	372.7
WBGene00016220|C29F9.5	368
WBGene00010285|F58H1.2	366
WBGene00020171|T02H6.1	363
WBGene00017039|D1073.1|trk-1	362
WBGene00021098|W08F4.9|fbxb-14	360
WBGene00001750|K08F4.6|gst-2	358
WBGene00011380|T02E1.8	352.97
WBGene00010578|K04H8.3	352.09
WBGene00017681|F21F8.11	351
WBGene00002216|T09A5.2|klp-3	350.77
WBGene00022126|Y71F9B.2	347
WBGene00004827|K08H2.1|skr-21	343
WBGene00021044|W05H7.1	341
WBGene00011749|T13F2.12	341
WBGene00002368|K08E7.3|let-99	339
WBGene00011119|R07E5.13	338
WBGene00013736|Y111B2A.13	335
WBGene00012073|T27A8.1	334
WBGene00013000|Y48E1B.1|ddl-2	328
WBGene00017742|F23F1.1|nfyc-1	326
WBGene00002018|Y46H3A.2|hsp-16.41	322
WBGene00018943|F56C3.6|dgn-2	321.25
WBGene00004285|W01H2.3|rab-37	321
WBGene00001475|F15B9.7|fmi-1	321
WBGene00009377|F34D10.8	320
WBGene00013477|Y69E1A.5	317
WBGene00002393|Y65B4BR.2|lpr-1	316
WBGene00011866|T20F10.5	315
WBGene00016641|C44C1.1	315
WBGene00018565|F47E1.1	307
WBGene00019673|K12C11.1	307
WBGene00013740|Y111B2A.20|hut-1	306
WBGene00002101|T28B8.2|ins-18	303.64
WBGene00019198|H14E04.1	303
WBGene00013898|ZC443.3	302.5
WBGene00020161|T02G5.1	296
WBGene00017571|F18E9.5|tag-279	294.9
WBGene00007107|B0035.4|pfd-4	294.81
WBGene00019842|R02F11.4	293
WBGene00005003|F27C8.4|spp-18	292
WBGene00017002|D1007.4	289
WBGene00023520|Y57G11C.50	288.1
WBGene00012479|Y18D10A.9	280
WBGene00018928|F56B3.2	279
WBGene00011373|T02D1.7	279
WBGene00016654|C44E4.5	279
WBGene00021976|Y58A7A.2	275
WBGene00018348|F42C5.6	271.9
WBGene00018703|F52E4.7|sec-3	271.17
WBGene00009053	270
WBGene00018500|F46F5.9	267
WBGene00016046|C24B5.4	266.6
WBGene00044559|ZK380.5	266
WBGene00002210|F58H12.1|kin-29	265
WBGene00003684|C12D5.8|nhr-94	265
WBGene00021209|Y18H1A.3	265
WBGene00004213|C48D5.2|ptp-1	262.31
WBGene00021558|Y45G5AM.6	257
WBGene00019870|R04E5.7	256
WBGene00006993|Y79H2A.11|zyg-8	251
WBGene00008198|C49C3.8	250.2
WBGene00005474|C54F6.1|srh-268	250
WBGene00011798|T16G1.4	249.37
WBGene00006792|T06H11.1|unc-58	245.62
WBGene00021046|W05H7.3|sedl-1	245
WBGene00003738|F54F3.1|nid-1	243.45
WBGene00019699|M01D1.2|math-34	243
WBGene00019154|H04M03.4|glf-1	241
WBGene00017490|F15E11.1	240.09
WBGene00019344|K02G10.1	240
WBGene00013238|Y56A3A.21|trap-4	239
WBGene00015205|B0495.6	238
WBGene00001881|F45F2.4|his-7	237
WBGene00077582|F14H8.8	235
WBGene00003393|EEED8.5|mog-5	233.35
WBGene00017500|F15E11.14	232.31
WBGene00022523|ZC132.4	231
WBGene00012996|Y48C3A.16	229
WBGene00022846|ZK1055.5	229
WBGene00022214|Y73B3A.12	225.97
WBGene00021427|Y38F2AR.9	225
WBGene00011906|T22A3.2|hsp-12.1	224.54
WBGene00000221|T04C10.4|atf-5	221
WBGene00005657|C13D9.1|srr-6	221
WBGene00001082|R160.1|dpy-23	220.75
WBGene00005517|F28D9.2|sri-5	219
WBGene00006575|F13B10.1|tir-1	218
WBGene00020250|T05C1.3	216.5
WBGene00022443|Y110A2AL.6	216
WBGene00000123|F36A4.7|ama-1	214.75
WBGene00004219|C45B2.7|ptr-4	210
WBGene00011671|T10B9.1|cyp-13A4	210
WBGene00015439|C04E12.10	210
WBGene00008649|F10D11.3	209.54
WBGene00016922|C54F6.4	209
WBGene00001453|T06C10.4|flp-10	208.23
WBGene00018623|F48G7.12	208
WBGene00010031|F54B11.8	207.52
WBGene00016322|C32E8.4	206.92
WBGene00009947|F52H3.5	205.5
WBGene00006768|ZK637.8|unc-32	205.15
WBGene00008065|C43C3.2|npr-18	205
WBGene00017594|F19C7.4	205
WBGene00018709|F52F10.5|srsx-8	203
WBGene00006875|T22C8.8|vab-9	203
WBGene00015419|C04E6.2|srsx-18	202
WBGene00017944|F31D5.1	201
WBGene00001186|F55A8.1|egl-18	199.2
WBGene00044472|F56D6.10|dct-8	199
WBGene00005719|F53F1.7|srv-8	197
WBGene00022348|Y82E9BR.16	195
WBGene00010466|K01D12.7	195
WBGene00010873|M05B5.6|trpa-2	195
WBGene00020568|T19D2.3	192
WBGene00017290|F09E5.12	190
WBGene00044068|ZK867.1|syd-9	188.22
WBGene00007320|C05B5.2	187.07
WBGene00007062|Y59A8B.9|ebp-3	187
WBGene00007576|C14B1.5|dph-1	186
WBGene00015164|B0361.10|ykt-6	185
WBGene00017900|F28E10.1	182
WBGene00003354|F39E9.13|mir-260	181
WBGene00001629|Y116F11B.12|gly-4	181
WBGene00006815|W01A11.3|unc-83	179.95
WBGene00013350|Y59A8B.13|slr-2	179.45
WBGene00020190|T03F1.8	178
WBGene00009691|F44E5.4	176.63
WBGene00011140|R08B4.4	174
WBGene00018562|F47D12.6	174
WBGene00008258|C52E4.5	171.14
WBGene00044648|R144.13	170
WBGene00013347|Y59A8B.10	169.88
WBGene00018405|F44A2.5	169
WBGene00044443|ZC21.10	168
WBGene00013805|Y116A8C.28|bca-2	168
WBGene00020959|W02H5.4	168
WBGene00000074|C04A11.4|adm-2	167.77
WBGene00016354|C33F10.5|rig-6	167
WBGene00001006|C25F6.2|dlg-1	167
WBGene00002071|T04G9.3|ile-2	166.65
WBGene00001086|R13G10.1|dpy-27	166
WBGene00012832|Y43F8C.10|dmd-3	164
WBGene00000557|R09B5.8|cnc-3	162.99
WBGene00019174|H09G03.1	162.64
WBGene00003845|B0280.4|odd-1	160
WBGene00044069|M03C11.4|tag-235	159.64
WBGene00011117|R07E5.11	159
WBGene00022236|Y73B6BL.12	159
WBGene00017396|F12A10.7	159
WBGene00044556|F38G1.3	156.09
WBGene00014216|ZK1086.2	155.84
WBGene00006048|ZK1225.6|ssp-31	155
WBGene00019565|K09D9.2|cyp-35A3	154.25
WBGene00020120|R160.3	154.22
WBGene00020397|T10B11.1|pcbd-1	154
WBGene00008634|F10A3.4	154
WBGene00004756|ZC518.2|sec-24.2	154
WBGene00002280|F01G12.5|let-2	153.53
WBGene00018063|F35F10.14	152
WBGene00016871|C52B11.2|tag-303	152
WBGene00015179|B0416.3	151
WBGene00015781|C14F11.6	148
WBGene00010737|K10C8.4	148
WBGene00022597|ZC395.5	148
WBGene00020510|T14G11.1	147
WBGene00044176|C30G7.2	147
WBGene00002267|C44F1.3|lec-4	146.8
WBGene00012889|Y45F10D.10	146
WBGene00020776|T24E12.9	145
WBGene00001253|F52C12.5|elt-6	144.07
WBGene00009692|F44E5.5	144.05
WBGene00013011|Y48E1B.14	143
WBGene00007986|C36F7.5	141.25
WBGene00044025|T01G1.4	141.11
WBGene00007731|C25G4.3	141
WBGene00000161|T20B5.1|apa-2	139
WBGene00020630|T20F7.1	139
WBGene00022518|ZC123.3	139
WBGene00015552|C06G3.6	139
WBGene00015694|C10H11.5|ugt-27	136.57
WBGene00008426|D2045.9	136
WBGene00018272|F41C3.6	136
WBGene00016644|C44C1.5	135.55
WBGene00008438|DH11.5	135.36
WBGene00012221|W03C9.5	135.17
WBGene00012696|Y39B6A.38|reps-1	135
WBGene00045458|F17B5.8	134
WBGene00018520|F46H5.4	133.71
WBGene00000219|F21F8.7|asp-6	133.08
WBGene00004010|Y48A6C.5|pha-1	133
WBGene00013211|Y54G9A.9	132.28
WBGene00019641|K10G6.4	131
WBGene00011353|T01H8.2	131
WBGene00011286|R90.4|ttr-29	130.77
WBGene00022083|Y69A2AR.12	130.75
WBGene00001697|C37C3.4|grd-8	130
WBGene00012871|Y45F10B.3	129.72
WBGene00017907|F28F9.3	129
WBGene00007288|C04A11.5	129
WBGene00021890|Y54G2A.26	128.84
WBGene00017183|F02E11.5|scl-15	128
WBGene00011772|T14G8.4	127.39
WBGene00011824|T18D3.7	126.69
WBGene00011971|T23G11.6	126
WBGene00001582|K02A11.1|gfi-2	126
WBGene00045209|F13E9.16	126
WBGene00009949|F53A2.1	126
WBGene00003818|H15N14.2|nsf-1	126
WBGene00012116|T28B8.5|del-4	126
WBGene00018406|F44A2.7	125.33
WBGene00007496|C09G9.7|npax-4	124
WBGene00018049|F35D11.9|clec-138	124
WBGene00009509|F37D6.3	123
WBGene00015260|B0554.7	123
WBGene00018378|F43C11.1	122
WBGene00017531|F16H11.2	121
WBGene00004264|T05C12.10|qua-1	121
WBGene00006712|B0403.2|ubc-17	121
WBGene00020989|W03D8.8	120.13
WBGene00015940|C18A3.2	120
WBGene00012762|Y41E3.1	119.08
WBGene00010977|R02D5.3	119
WBGene00001740|ZC395.6|gro-1	118.02
WBGene00016637|C44B12.3	118
WBGene00018356|F42G8.5|islo-1	118
WBGene00008576|F08G2.4	116.5
WBGene00006626|F10G7.2|tsn-1	115.7
WBGene00006573|Y66D12A.22|tin-10	115.36
WBGene00021728|Y49F6C.6	115
WBGene00015861|C16D9.6	114.6
WBGene00016135|C26B9.6	114
WBGene00008961|F19H6.6	114
WBGene00017509|F16B4.7	113
WBGene00001072|T14B4.7|dpy-10	112.9
WBGene00007855|C31H5.4	112.67
WBGene00045252|Y62H9A.15	112.13
WBGene00004706|F28D9.1|rsr-1	112
WBGene00012618|Y38H6C.5|dct-10	112
WBGene00044609|Y71H2AM.24	112
WBGene00019434|K06A5.8	111.78
WBGene00012223|W03C9.8	111.44
WBGene00007047|T20F10.1|wts-1	111
WBGene00012908|Y46G5A.18	111
WBGene00011807|T16G12.6	111
WBGene00012165|W01A8.3|cutl-6	111
WBGene00016656|C44E4.7	111
WBGene00002026|C12C8.1|hsp-70	110.77
WBGene00007941|C34F6.7	110.66
WBGene00021078|W08A12.1	110.48
WBGene00004999|K09F5.3|spp-14	110.02
WBGene00013084|Y51A2D.20	110
WBGene00021698|Y48G9A.4|frl-1	109
WBGene00011789|T15H9.4	108.68
WBGene00009463|F36D1.4	107
WBGene00017403|F12E12.2	107
WBGene00010911|M106.3	106.93
WBGene00003237|Y73B6BL.13|mif-4	106.77
WBGene00012411|Y7A5A.5	106
WBGene00002019|T27E4.3|hsp-16.48	105.5
WBGene00014031|ZK637.14	105
WBGene00006520|D2013.10|tag-175	105
WBGene00019826|R02E4.1	104
WBGene00020618|T20D4.12	104
WBGene00013015|Y48E1C.2	104
WBGene00004497|Y41D4B.5|rps-28	103.92
WBGene00009946|F52H3.4	103
WBGene00017265|F08F3.9	101.85
WBGene00018187|F38E9.5	101.71
WBGene00002020|T27E4.9|hsp-16.49	101.5
WBGene00077599|T20F5.8	101
WBGene00012330|W07G1.3|zip-3	101
WBGene00008002|C38C10.6	101
WBGene00010646|K08C7.1	100.42
WBGene00020113|R151.10	100
WBGene00008765|F13G3.5|ttx-7	100
WBGene00004498|B0412.4|rps-29	99.43
WBGene00012197|W02B8.1	99
WBGene00017332|F10D2.6|ugt-37	98.88
WBGene00022084|Y69A2AR.13	98.5
WBGene00003618|E02H1.7|nhr-19	98
WBGene00000994|F08B4.1|dic-1	98
WBGene00016724|C46H3.1	97
WBGene00001995|K08H2.6|hpl-1	96.5
WBGene00003798|T23H2.1|npp-12	96
WBGene00020459|T12B5.13|fbxa-23	96
WBGene00016629|C44B7.7	95
WBGene00013806|Y116A8C.29	94.46
WBGene00000387|F16B4.8|cdc-25.2	93.7
WBGene00001045|Y47H9C.5|dnj-27	93.57
WBGene00015163|B0361.9	92.96
WBGene00009624|F41E7.8|cnc-8	92.65
WBGene00008408|D2023.4	92
WBGene00045108|H01G02.4	92
WBGene00004192|ZK809.7|prx-2	91.65
WBGene00011871|T20G5.9	91.6
WBGene00001477|K08C7.5|fmo-2	91.25
WBGene00009620|F41E7.4|fip-5	90.6
WBGene00001570|F58A4.11|gei-13	90.6
WBGene00001131|F15D3.1|dys-1	90.5
WBGene00006730|F39B2.2|uev-1	90.14
WBGene00044127|BE10.5	90.13
WBGene00006498|R13F6.4|ten-1	89.76
WBGene00010593|K06A4.3|gsnl-1	88.3
WBGene00016642|C44C1.2	88.28
WBGene00013887|ZC412.6|nspa-5	88.09
WBGene00009743|F45H11.1|sptf-1	88.08
WBGene00001781|C02A12.1|gst-33	88.07
WBGene00017534|F17A9.2	87.11
WBGene00003799|Y37E3.15|npp-13	87.05
WBGene00008960|F19H6.5	86.91
WBGene00019278|K01A2.3	86
WBGene00020605|T20B12.9|lgc-50	85.71
WBGene00020911|W01A11.5|cpt-6	85
WBGene00017646|F20H11.1	84
WBGene00007444|C08F8.2	84
WBGene00012256|W04G3.2|lpr-5	84
WBGene00004166|Y43H11AL.3|pqn-85	84
WBGene00077682|F58B4.7	83
WBGene00022776|ZK616.6	83
WBGene00001449|F07D3.2|flp-6	82.28
WBGene00012361|W09D10.3	81.57
WBGene00045249|T07A9.15	81.17
WBGene00018674|F52C9.3	80
WBGene00020236|T05B4.1|lgc-1	80
WBGene00011001|R04B5.1	80
WBGene00044687|B0563.9	79.96
WBGene00021142|W10G11.12|clec-133	79
WBGene00020664|T21H3.5	79
WBGene00017952|F31E3.6	79
WBGene00006718|C28G1.1|ubc-23	78.62
WBGene00000150|F55A12.7|apm-1	78.5
WBGene00022122|Y71F9AM.6|trap-1	78.31
WBGene00015317|C02A12.5|srbc-32	78
WBGene00008447|E01G4.5	77.88
WBGene00007405|C07A9.9	77
WBGene00021850|Y54F10AM.6	77
WBGene00004145|T03G11.1|pqn-62	76.81
WBGene00006407|F25H5.1|lim-9	76.75
WBGene00007529|C11H1.3	76.43
WBGene00003424|F26G1.7|msp-3	76.36
WBGene00021292|Y25C1A.5	76.36
WBGene00009977|F53C11.8|swan-1	76.14
WBGene00013401|Y62H9A.13	75.44
WBGene00011187|R10D12.6	75
WBGene00001170|F23B12.9|egl-1	75
WBGene00022783|ZK652.2|tomm-7	74.39
WBGene00010633|K07F5.5|nspd-2	74.34
WBGene00001990|K07A12.6|hot-5	74
WBGene00008862|F15D4.5	74
WBGene00003033|F34D10.5|lin-48	74
WBGene00012704|Y39C12A.1	74
WBGene00005832|C25F9.1|srw-85	74
WBGene00010129|F55G11.10	74
WBGene00004780|C09B7.1|ser-7	73.25
WBGene00006831|C52E12.2|unc-104	73.25
WBGene00003968|T14F9.4|peb-1	73.09
WBGene00011502|T05G5.8|vps-53	73
WBGene00022786|ZK652.8	72.77
WBGene00044679|K02B12.9	72.18
WBGene00001769|ZK697.6|gst-21	72
WBGene00009326|F32D8.1	71.2
WBGene00007020|Y104H12D.1|mdt-20	71
WBGene00010587|K05C4.11	71
WBGene00011267|R17.1|fbxb-85	70.33
WBGene00010338|F59F4.3	70.2
WBGene00006494|H13N06.5|hke-4.2	70.2
WBGene00007895|C33D3.4	70
WBGene00020914|W01B11.2|sulp-6	70
WBGene00044067|T28F3.3|hke-4.1	70
WBGene00021626|Y47D7A.14	70
WBGene00044206|T26H5.9	70
WBGene00013860|ZC247.2	70
WBGene00018508|F46F11.1	70
WBGene00009646|F42H11.1	69.76
WBGene00016355|C33F10.7|lact-5	69.69
WBGene00011939|T23B5.1|prmt-3	69.1
WBGene00021255	69
WBGene00000891|Y87G2A.6|cyn-15	68.27
WBGene00012290|W05H12.2	67.67
WBGene00008896|F16H6.6	67.61
WBGene00001680|F52A8.2|gpb-2	67.3
WBGene00017501|F15E11.15	67.09
WBGene00020140|T01B11.4|ant-1.4	67
WBGene00012382|Y5F2A.1|ttr-16	67
WBGene00004490|F37C12.11|rps-21	66.67
WBGene00003779|Y75B8A.2|nob-1	66.17
WBGene00003806|Y77E11A.13|npp-20	66
WBGene00019755|M03E7.3	66
WBGene00017367|F10G2.9|nhr-263	66
WBGene00017473|F14H12.6	65.97
WBGene00012728|Y39G8B.9	65.92
WBGene00013218|Y54G11A.9	65
WBGene00010416|H25P06.1	64.64
WBGene00022444|Y110A2AL.7	64.51
WBGene00017106|E02H9.9	64
WBGene00006593|C07F11.1|tol-1	63.71
WBGene00021806|Y53G8AM.6	63.17
WBGene00019609|K10B3.1	63.02
WBGene00017239|F08B6.1	63
WBGene00044207|Y6G8.5	63
WBGene00004282|Y45F3A.2|rab-30	63
WBGene00017838|F26G1.2	63
WBGene00014088|ZK809.8	62.24
WBGene00010969|R01E6.5	62.14
WBGene00016920|C54E4.5	62
WBGene00007237|C01G10.10	61.93
WBGene00019118|F59E12.1	61.78
WBGene00008366|D1046.5	61.68
WBGene00000908|F11A1.3|daf-12	61.05
WBGene00000584|R03C1.3|cog-1	61
WBGene00015946|C18A3.10	61
WBGene00044163|F49C5.11	60.91
WBGene00010174|F56H9.2	60.74
WBGene00011932|T22G5.5|sptl-3	60.25
WBGene00003582|F52G2.1|dcap-2	60
WBGene00000624|Y18H1A.12|col-47	60
WBGene00020374|T09A12.5	60
WBGene00021934|Y55F3AR.3|cct-8	59.71
WBGene00018275|F41C3.11	59.53
WBGene00019827|R02E12.2|mop-25.1	59.51
WBGene00012535|Y37A1A.2	59.25
WBGene00003014|F02E9.2|lin-28	59
WBGene00015021|B0205.6	59
WBGene00004381|C16C10.7|rnf-5	59
WBGene00009498|F36H2.1|tat-5	58.08
WBGene00008883|F16B12.7	58.06
WBGene00021904|Y55B1AL.2	58
WBGene00001905|F17E9.12|his-31	58
WBGene00013568|Y75B12B.3	57.11
WBGene00001949|M05B5.5|hlh-2	57.1
WBGene00016746|C48B6.10	57
WBGene00009984|F53F1.6	56.86
WBGene00018724|F53A9.1	56.5
WBGene00001043|W07A8.3|dnj-25	56.38
WBGene00021036|W05F2.4	56.35
WBGene00020778|T24E12.11	56.31
WBGene00022471|Y119C1B.5	56
WBGene00006423|T21G5.5|asd-2	56
WBGene00011605|T08A11.2	56
WBGene00018707|F52F10.3|oac-31	56
WBGene00018741|F53B3.2	56
WBGene00008924|F17E5.2	56
WBGene00007059|F08C6.3|vps-52	56
WBGene00020162|T02G5.2	56
WBGene00006527|C02F4.2|tax-6	56
WBGene00001366|C33D9.1|exc-5	56
WBGene00021469|Y39G10AR.11	55.77
WBGene00000800|Y23H5A.7|cars-1	55.56
WBGene00044324|ZK652.3|tag-277	55.48
WBGene00016838|C50F2.4	55.41
WBGene00006823|C06A5.7|unc-94	55.23
WBGene00043060|R144.12	55
WBGene00015231|B0511.5|cutl-14	55
WBGene00001235|Y41C4A.10|elb-1	54.79
WBGene00002324|Y54E5B.3|let-49	54
WBGene00016998|D1005.4	54
WBGene00003242|C37C3.6|mig-6	53.32
WBGene00017258|F08F1.4	53
WBGene00003898|Y39A1C.2|oxi-1	52.98
WBGene00004259|D2085.1|pyr-1	52.95
WBGene00011862|T20D3.11	52.5
WBGene00016138|C26E6.2|flh-2	52.5
WBGene00006975|F54F2.2|zfp-1	52.35
WBGene00019491|K07E3.2	52.3
WBGene00005072|F37C12.17|srb-7	52
WBGene00005249|C54D10.6|srh-25	52
WBGene00006711|Y54E5B.4|ubc-16	51.86
WBGene00020967|W03A5.2	51.86
WBGene00019653|K11G9.2	51.3
WBGene00010704|K09A11.1	51.25
WBGene00015429|C04E7.2|sor-3	51.15
WBGene00013673|Y105E8A.13	51.02
WBGene00012425|Y10G11A.3|dlc-4	51
WBGene00001772|F37B1.1|gst-24	51
WBGene00008425|D2045.8	51
WBGene00022072|Y67D8C.8|cpg-9	51
WBGene00007955|C35C5.3	50.75
WBGene00012781|Y43C5A.1|nspd-7	50.74
WBGene00007629|C16C10.9	50
WBGene00004450|F37C12.4|rpl-36	49.66
WBGene00017028|D1044.2	49.5
WBGene00013886|ZC412.5	49.41
WBGene00009895|F49E11.10|scl-2	49.34
WBGene00008125|C47A4.5	49.26
WBGene00016502|C37C3.10	49
WBGene00010805|M01E5.2	49
WBGene00003719|C50B6.14|nhr-129	49
WBGene00010281|F58G11.3	49
WBGene00003619|F43C1.4|nhr-20	49
WBGene00006923|F08B1.1|vhp-1	49
WBGene00020462|T12E12.1	48.95
WBGene00020083|R57.2	48.75
WBGene00001078|F22B7.10|dpy-19	48.75
WBGene00008971|F20C5.6	48.7
WBGene00019304|K02D10.4	48.5
WBGene00006709|Y87G2A.9|ubc-14	48.38
WBGene00021371|Y37E11AR.4|nape-1	48.09
WBGene00004199|R07H5.1|prx-14	48
WBGene00013969|ZK337.1|tep-1	47.54
WBGene00006452|R148.6|heh-1	47.48
WBGene00017951|F31E3.4	47.4
WBGene00001890|ZK131.10|his-16	47
WBGene00008592|F08H9.4	47
WBGene00019855|R03H10.2	47
WBGene00001886|ZK131.6|his-12	47
WBGene00001917|F08G2.2|his-43	47
WBGene00021546|Y43H11AL.2	46.84
WBGene00010871|M05B5.3	46.6
WBGene00017317|F09G2.9	46.48
WBGene00014175|ZK971.1	46.35
WBGene00003129|Y37E11AL.7|map-1	46.25
WBGene00001174|C08C3.1|egl-5	46.15
WBGene00000986|R08H2.1|dhs-23	46.13
WBGene00002079|Y48G1A.5|xpo-2	46.02
WBGene00021768|Y51F10.7	46
WBGene00008831|F14H3.12	45.79
WBGene00019058|F58F9.4	45.64
WBGene00004224|F55F8.1|ptr-10	45.32
WBGene00004369|K09E2.4|rig-1	44.89
WBGene00002232|F11A6.1|kpc-1	44.86
WBGene00018730|F53A9.7	44.85
WBGene00004187|C50C3.6|prp-8	44.75
WBGene00017717|F22F4.4	44.53
WBGene00016237|C29H12.6	44.39
WBGene00004874|F35G12.8|smc-4	44.07
WBGene00019751|M03D4.4	43.86
WBGene00022888|ZK1290.6|rnh-1.1	43.62
WBGene00009688|F44E5.1	43.62
